state_name,district_name,year,month,total_rainfall_mm,rainy_days,data_days,lpa_mm,departure_pct,anomaly_category
Telangana,Adilabad,2018,1,0.0,0,29,6.13,-100.0,Large Deficit
Telangana,Adilabad,2018,2,0.0,0,21,0.35,-100.0,Large Deficit
Telangana,Adilabad,2018,3,15.367160661,1,25,10.48,46.63,Large Excess
Telangana,Adilabad,2018,4,4.125904557,1,22,16.91,-75.6,Large Deficit
Telangana,Adilabad,2018,5,42.600966725000006,3,24,30.41,40.1,Large Excess
Telangana,Adilabad,2018,6,40.087957943,2,26,138.16,-70.98,Large Deficit
Telangana,Adilabad,2018,7,211.58640361300002,11,25,445.21,-52.48,Large Deficit
Telangana,Adilabad,2018,8,476.02432539800003,18,28,217.44,118.92,Large Excess
Telangana,Adilabad,2018,9,510.758427353,14,29,250.66,103.76,Large Excess
Telangana,Adilabad,2018,10,40.037915635000004,6,24,47.32,-15.39,Below Normal
Telangana,Adilabad,2018,11,0.0,0,19,7.8,-100.0,Large Deficit
Telangana,Adilabad,2018,12,0.0,0,27,3.86,-100.0,Large Deficit
Telangana,Adilabad,2019,1,9.365079459,1,25,6.13,52.82,Large Excess
Telangana,Adilabad,2019,2,0.636489487,0,23,0.35,79.32,Large Excess
Telangana,Adilabad,2019,3,1.884212998,0,23,10.48,-82.02,Large Deficit
Telangana,Adilabad,2019,4,1.7020552850000001,0,22,16.91,-89.93,Large Deficit
Telangana,Adilabad,2019,5,2.13916557,0,25,30.41,-92.96,Large Deficit
Telangana,Adilabad,2019,6,147.537216859,9,25,138.16,6.79,Above Normal
Telangana,Adilabad,2019,7,286.184868485,13,21,445.21,-35.72,Large Deficit
Telangana,Adilabad,2019,8,252.647652453,12,24,217.44,16.19,Above Normal
Telangana,Adilabad,2019,9,177.993019524,16,23,250.66,-28.99,Large Deficit
Telangana,Adilabad,2019,10,75.046223599,9,23,47.32,58.59,Large Excess
Telangana,Adilabad,2019,11,0.715477237,0,23,7.8,-90.83,Large Deficit
Telangana,Adilabad,2019,12,0.808997717,0,29,3.86,-79.06,Large Deficit
Telangana,Adilabad,2020,1,2.97008555,0,28,6.13,-51.53,Large Deficit
Telangana,Adilabad,2020,2,0.211927519,0,19,0.35,-40.29,Large Deficit
Telangana,Adilabad,2020,3,28.035883924,4,23,10.48,167.51,Large Excess
Telangana,Adilabad,2020,4,15.226005262000001,1,26,16.91,-9.96,Below Normal
Telangana,Adilabad,2020,5,14.230113808999999,2,28,30.41,-53.2,Large Deficit
Telangana,Adilabad,2020,6,137.890000202,14,22,138.16,-0.2,Normal
Telangana,Adilabad,2020,7,258.092197176,13,24,445.21,-42.03,Large Deficit
Telangana,Adilabad,2020,8,0.252491382,0,27,217.44,-99.88,Large Deficit
Telangana,Adilabad,2020,9,5.0719661259999995,1,26,250.66,-97.98,Large Deficit
Telangana,Adilabad,2020,10,34.9089584,6,25,47.32,-26.23,Large Deficit
Telangana,Adilabad,2020,11,1.745988572,0,25,7.8,-77.61,Large Deficit
Telangana,Adilabad,2020,12,5.0719661259999995,1,25,3.86,31.28,Large Excess
Telangana,Adilabad,2021,1,0.0,0,27,6.13,-100.0,Large Deficit
Telangana,Adilabad,2021,2,1.205320013,0,21,0.35,239.58,Large Excess
Telangana,Adilabad,2021,3,0.215451425,0,21,10.48,-97.94,Large Deficit
Telangana,Adilabad,2021,4,12.01786984,1,21,16.91,-28.93,Large Deficit
Telangana,Adilabad,2021,5,24.617387596,3,28,30.41,-19.04,Below Normal
Telangana,Adilabad,2021,6,259.035420694,14,22,138.16,87.49,Large Excess
Telangana,Adilabad,2021,7,511.36007283699996,17,26,445.21,14.86,Above Normal
Telangana,Adilabad,2021,8,253.403507187,14,26,217.44,16.54,Above Normal
Telangana,Adilabad,2021,9,315.262911673,18,26,250.66,25.77,Large Excess
