state_name,district_name,year,season,total_rainfall_mm,rainy_days,data_days,lpa_mm,departure_pct,anomaly_category,is_above_normal
Telangana,Adilabad,2017,Rabi,0.0,0,50,56.99,-100.0,Large Deficit,0
Telangana,Adilabad,2018,Kharif,1238.457114307,45,108,1051.47,17.78,Above Normal,1
Telangana,Adilabad,2018,Rabi,50.039484581,7,118,56.99,-12.19,Below Normal,0
Telangana,Adilabad,2018,Zaid,62.094031943000005,5,71,57.8,7.43,Above Normal,1
Telangana,Adilabad,2019,Kharif,864.362757321,50,93,1051.47,-17.79,Below Normal,0
Telangana,Adilabad,2019,Rabi,79.75271162199999,9,122,56.99,39.94,Large Excess,1
Telangana,Adilabad,2019,Zaid,5.725433853,0,70,57.8,-90.09,Large Deficit,0
Telangana,Adilabad,2020,Kharif,401.306654886,28,99,1051.47,-61.83,Large Deficit,0
Telangana,Adilabad,2020,Rabi,42.932233111,7,123,56.99,-24.67,Large Deficit,0
Telangana,Adilabad,2020,Zaid,57.492002995,7,77,57.8,-0.53,Normal,0
Telangana,Adilabad,2021,Kharif,1339.061912391,63,100,1051.47,27.35,Large Excess,1
Telangana,Adilabad,2021,Rabi,106.257618892,11,120,56.99,86.45,Large Excess,1
Telangana,Adilabad,2021,Zaid,36.850708861,4,70,57.8,-36.24,Large Deficit,0
Telangana,Adilabad,2022,Kharif,1310.3145408999999,57,98,1051.47,24.62,Large Excess,1
Telangana,Adilabad,2022,Rabi,85.77437233970001,8,133,56.99,50.51,Large Excess,1
Telangana,Adilabad,2022,Zaid,21.369682709,3,71,57.8,-63.03,Large Deficit,0
Telangana,Adilabad,2023,Kharif,1155.325752702,59,122,1051.47,9.88,Above Normal,1
Telangana,Adilabad,2023,Rabi,34.1640321089,5,95,56.99,-40.05,Large Deficit,0
Telangana,Adilabad,2023,Zaid,163.2551463494,16,92,57.8,182.46,Large Excess,1
Telangana,Bhadradri Kothagudem,2017,Rabi,0.0,0,47,102.21,-100.0,Large Deficit,0
Telangana,Bhadradri Kothagudem,2018,Kharif,1028.704489378,50,101,926.22,11.07,Above Normal,1
