State,District,Date,Year,Month,Avg_rainfall,Agency_name
Telangana,Warangal Urban,2021-11-29,2021,11,0.0,IMD GRID MODEL
Telangana,Warangal Urban,2021-12-08,2021,12,0.0,IMD GRID MODEL
Telangana,Warangal Urban,2021-12-09,2021,12,0.0,IMD GRID MODEL
Telangana,Warangal Urban,2021-12-11,2021,12,0.0,IMD GRID MODEL
Telangana,Warangal Urban,2021-12-19,2021,12,0.0,IMD GRID MODEL
Telangana,Warangal Urban,2021-12-24,2021,12,0.0,IMD GRID MODEL
Telangana,Warangal Urban,2021-12-27,2021,12,0.0,IMD GRID MODEL
Telangana,Warangal Urban,2021-12-31,2021,12,0.0,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-01-07,2021,01,0.051290423,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-01-08,2021,01,0.0,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-01-19,2021,01,0.0,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-01-20,2021,01,0.0,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-01-21,2021,01,0.0,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-02-03,2021,02,0.0,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-02-14,2021,02,0.0,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-02-15,2021,02,0.0,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-02-21,2021,02,0.0,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-02-26,2021,02,0.0,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-03-07,2021,03,0.0,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-03-09,2021,03,0.0,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-03-13,2021,03,0.0,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-03-16,2021,03,0.0,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-03-20,2021,03,0.0,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-03-25,2021,03,0.0,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-03-27,2021,03,0.0,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-03-29,2021,03,0.0,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-04-03,2021,04,0.0,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-04-04,2021,04,0.0,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-04-07,2021,04,0.0,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-04-21,2021,04,0.045267868,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-04-22,2021,04,6.851122136,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-04-26,2021,04,0.0,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-05-07,2021,05,0.0,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-05-21,2021,05,0.0,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-05-29,2021,05,0.004926764,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-06-03,2021,06,13.22993841,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-06-06,2021,06,12.07125219,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-06-09,2021,06,0.469569074,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-06-10,2021,06,0.244038229,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-06-11,2021,06,18.11375136,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-06-14,2021,06,21.57128828,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-06-16,2021,06,10.3422904,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-06-23,2021,06,8.041094582,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-07-09,2021,07,0.004857179,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-07-11,2021,07,6.575574172,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-07-21,2021,07,21.56658356,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-07-23,2021,07,45.41074139,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-07-26,2021,07,3.604231339,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-07-29,2021,07,0.017679785,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-07-30,2021,07,0.0,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-08-01,2021,08,0.0,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-08-03,2021,08,0.0,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-08-05,2021,08,0.001259717,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-08-09,2021,08,3.365628601,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-08-11,2021,08,0.757439856,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-08-22,2021,08,5.809121013,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-08-24,2021,08,1.823404475,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-08-29,2021,08,7.914137702,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-08-30,2021,08,42.79528514,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-09-01,2021,09,3.45027743,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-09-06,2021,09,2.954553764,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-09-10,2021,09,0.0,IMD GRID MODEL
Telangana,Yadadri Bhuvanagiri,2021-09-12,2021,09,2.650119448,IMD GRID MODEL
Telangana,Sangareddy,2021-07-30,2021,07,0.0,IMD GRID MODEL
Telangana,Sangareddy,2021-08-03,2021,08,0.313731393,IMD GRID MODEL
Telangana,Sangareddy,2021-08-10,2021,08,0.677162397,IMD GRID MODEL
Telangana,Sangareddy,2021-08-21,2021,08,4.242770044,IMD GRID MODEL
Telangana,Sangareddy,2021-08-25,2021,08,5.474552089,IMD GRID MODEL
Telangana,Sangareddy,2021-08-30,2021,08,22.00900772,IMD GRID MODEL
Telangana,Sangareddy,2021-08-31,2021,08,35.30388705,IMD GRID MODEL
Telangana,Sangareddy,2021-09-01,2021,09,1.045562907,IMD GRID MODEL
Telangana,Sangareddy,2021-09-04,2021,09,34.26888111,IMD GRID MODEL
Telangana,Sangareddy,2021-09-15,2021,09,0.906673042,IMD GRID MODEL
Telangana,Sangareddy,2021-09-29,2021,09,0.518229287,IMD GRID MODEL
Telangana,Sangareddy,2021-10-05,2021,10,2.247838927,IMD GRID MODEL
Telangana,Sangareddy,2021-10-07,2021,10,0.384055064,IMD GRID MODEL
Telangana,Sangareddy,2021-10-09,2021,10,10.2458776,IMD GRID MODEL
Telangana,Sangareddy,2021-10-10,2021,10,14.11379102,IMD GRID MODEL
Telangana,Sangareddy,2021-10-18,2021,10,0.038218943,IMD GRID MODEL
Telangana,Sangareddy,2021-10-29,2021,10,0.0,IMD GRID MODEL
Telangana,Sangareddy,2021-11-06,2021,11,0.0,IMD GRID MODEL
Telangana,Sangareddy,2021-11-07,2021,11,0.0,IMD GRID MODEL
Telangana,Sangareddy,2021-11-16,2021,11,2.244876005,IMD GRID MODEL
Telangana,Sangareddy,2021-11-17,2021,11,0.124585462,IMD GRID MODEL
Telangana,Sangareddy,2021-11-18,2021,11,0.048656826,IMD GRID MODEL
Telangana,Sangareddy,2021-11-19,2021,11,0.111649707,IMD GRID MODEL
Telangana,Sangareddy,2021-11-20,2021,11,1.338912287,IMD GRID MODEL
Telangana,Sangareddy,2021-11-23,2021,11,0.258578663,IMD GRID MODEL
Telangana,Sangareddy,2021-11-27,2021,11,0.0,IMD GRID MODEL
Telangana,Sangareddy,2021-11-30,2021,11,0.0,IMD GRID MODEL
Telangana,Sangareddy,2021-12-01,2021,12,0.0,IMD GRID MODEL
Telangana,Sangareddy,2021-12-02,2021,12,0.0,IMD GRID MODEL
Telangana,Sangareddy,2021-12-03,2021,12,0.0,IMD GRID MODEL
Telangana,Sangareddy,2021-12-05,2021,12,0.0,IMD GRID MODEL
Telangana,Sangareddy,2021-12-10,2021,12,0.0,IMD GRID MODEL
Telangana,Sangareddy,2021-12-12,2021,12,0.0,IMD GRID MODEL
Telangana,Sangareddy,2021-12-15,2021,12,0.0,IMD GRID MODEL
Telangana,Sangareddy,2021-12-21,2021,12,0.0,IMD GRID MODEL
Telangana,Sangareddy,2021-12-24,2021,12,0.0,IMD GRID MODEL
Telangana,Sangareddy,2021-12-26,2021,12,0.0,IMD GRID MODEL
Telangana,Siddipet,2021-01-01,2021,01,0.0,IMD GRID MODEL
Telangana,Siddipet,2021-01-12,2021,01,0.0,IMD GRID MODEL
Telangana,Siddipet,2021-01-29,2021,01,0.0,IMD GRID MODEL
Telangana,Siddipet,2021-02-05,2021,02,0.0,IMD GRID MODEL
Telangana,Siddipet,2021-02-07,2021,02,0.0,IMD GRID MODEL
Telangana,Siddipet,2021-02-13,2021,02,0.0,IMD GRID MODEL
Telangana,Siddipet,2021-02-17,2021,02,0.0,IMD GRID MODEL
Telangana,Siddipet,2021-02-20,2021,02,1.689460484,IMD GRID MODEL
Telangana,Siddipet,2021-02-21,2021,02,0.0,IMD GRID MODEL
Telangana,Siddipet,2021-02-22,2021,02,0.0,IMD GRID MODEL
Telangana,Siddipet,2021-03-06,2021,03,0.0,IMD GRID MODEL
Telangana,Siddipet,2021-03-12,2021,03,0.0,IMD GRID MODEL
Telangana,Siddipet,2021-03-23,2021,03,0.0,IMD GRID MODEL
Telangana,Siddipet,2021-03-25,2021,03,0.0,IMD GRID MODEL
Telangana,Siddipet,2021-03-27,2021,03,0.0,IMD GRID MODEL
Telangana,Siddipet,2021-03-28,2021,03,0.0,IMD GRID MODEL
Telangana,Siddipet,2021-04-02,2021,04,0.0,IMD GRID MODEL
Telangana,Siddipet,2021-04-10,2021,04,0.0,IMD GRID MODEL
Telangana,Siddipet,2021-04-12,2021,04,0.0,IMD GRID MODEL
Telangana,Siddipet,2021-04-19,2021,04,0.0,IMD GRID MODEL
Telangana,Siddipet,2021-04-25,2021,04,0.0,IMD GRID MODEL
Telangana,Siddipet,2021-04-26,2021,04,0.0,IMD GRID MODEL
Telangana,Siddipet,2021-05-01,2021,05,0.0,IMD GRID MODEL
Telangana,Siddipet,2021-05-02,2021,05,0.0,IMD GRID MODEL
Telangana,Siddipet,2021-05-07,2021,05,0.402833925,IMD GRID MODEL
Telangana,Siddipet,2021-05-08,2021,05,0.0,IMD GRID MODEL
